cluster_id,auto_name,review_1,review_2,review_3,review_4,review_5,operation_KEEP_RENAME_MERGE_SPLIT,new_name_if_RENAME,merge_target_cluster_id_if_MERGE,split_note_if_SPLIT
c_00132,performance: tablet / speed / lag,,,,,,,,,
c_00168,usability: ringtone / wallpaper / theme,,,,,,,,,
c_00046,bug_report: crash,,,,,,,,,
c_00184,usability: too many ads / digit> star / screen,,,,,,,,,
c_00177,usability: too many ads / many ads,,,,,,,,,
c_00127,performance: virus / battery / anti virus,,,,,,,,,
c_00011,bug_report: sticker / frame / purchase,,,,,,,,,
c_00016,bug_report: magic effect / magic / magic option,,,,,,,,,
c_00109,feature_request: virus / antivirus / feature,,,,,,,,,
c_00073,feature_request: edit / feature / ui,,,,,,,,,
c_00189,usability: virus / battery / device,,,,,,,,,
c_00160,usability: map / navigation / gps,,,,,,,,,
c_00100,feature_request: digit> star / option / edit,,,,,,,,,
c_00158,performance: speed / lag / tab,,,,,,,,,
c_00047,bug_report: notification / push notification / message,,,,,,,,,
c_00142,performance: download speed / speed / download,,,,,,,,,
c_00124,performance: lag,,,,,,,,,
c_00096,feature_request: option,,,,,,,,,
c_00144,performance: too many ads / battery / too much ads,,,,,,,,,
c_00101,feature_request: help / ui,,,,,,,,,
